#COUNT RESULTS FOR TRACT 1898.00 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
3 0 0 0 0 0 1 1 0
3(3) 0(1) 0(1) 1(1) 1(2) 1(1) 2(2) 2(2) 0(1) 
0.34(0.31) 0.03(0.11) 0.03(0.11) 0.06(0.16) 0.08(0.17) 0.06(0.16) 0.18(0.25) 0.20(0.26) 0.03(0.11)
