#COUNT RESULTS FOR TRACT 1909.01 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
6 0 0 0 1 1 9 10 0
6(4) 0(1) 0(1) 1(1) 2(3) 1(2) 13(6) 16(6) 0(1) 
0.15(0.11) 0.01(0.02) 0.01(0.02) 0.01(0.04) 0.04(0.06) 0.04(0.06) 0.33(0.15) 0.41(0.15) 0.01(0.02)
