#COUNT RESULTS FOR TRACT 1917.20 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
6 0 0 4 4 3 0 1 0
6(4) 0(1) 0(1) 6(4) 7(4) 4(4) 1(1) 2(3) 0(1) 
0.24(0.17) 0.01(0.04) 0.01(0.04) 0.22(0.16) 0.26(0.17) 0.16(0.14) 0.02(0.06) 0.07(0.10) 0.01(0.04)
