#COUNT RESULTS FOR Hollywood 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
400 9 0 50 42 35 218 62 0
400(31) 14(7) 5(4) 73(16) 75(16) 52(14) 318(29) 108(19) 5(4) 
0.38(0.03) 0.01(0.01) 0.00(0.00) 0.07(0.02) 0.07(0.02) 0.05(0.01) 0.30(0.03) 0.10(0.02) 0.00(0.00)
