#COUNT RESULTS FOR TRACT 1903.01 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
21 5 0 1 7 0 48 0 0
21(8) 5(4) 0(1) 1(2) 12(6) 1(1) 69(10) 1(2) 0(1) 
0.19(0.07) 0.05(0.04) 0.00(0.01) 0.01(0.02) 0.11(0.06) 0.00(0.01) 0.63(0.09) 0.01(0.01) 0.00(0.01)
