#COUNT RESULTS FOR East Hollywood 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
7 0 0 0 10 3 2 15 0
7(5) 0(1) 1(1) 1(2) 17(7) 4(4) 4(4) 25(7) 1(1) 
0.12(0.08) 0.01(0.02) 0.01(0.02) 0.02(0.03) 0.29(0.12) 0.07(0.07) 0.06(0.06) 0.42(0.13) 0.01(0.02)
