#COUNT RESULTS FOR TRACT 1916.20 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
1 0 0 0 2 2 2 3 0
1(2) 0(1) 0(1) 1(1) 3(3) 3(3) 3(3) 5(4) 0(1) 
0.07(0.12) 0.02(0.06) 0.02(0.06) 0.03(0.09) 0.21(0.20) 0.16(0.18) 0.18(0.19) 0.30(0.22) 0.02(0.06)
