#COUNT RESULTS FOR TRACT 1916.10 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
6 0 0 0 8 1 0 12 0
6(4) 0(1) 0(1) 1(1) 13(6) 1(2) 1(1) 20(6) 0(1) 
0.14(0.11) 0.01(0.02) 0.01(0.02) 0.01(0.03) 0.32(0.14) 0.03(0.05) 0.01(0.03) 0.46(0.15) 0.01(0.02)
