#COUNT RESULTS FOR Echo Pk Lake Area Fall 2020 T=1.1 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
14 0 0 5 19 16 88 10 0
14(7) 1(2) 1(2) 7(5) 33(10) 21(9) 98(14) 16(8) 1(2) 
0.08(0.04) 0.00(0.01) 0.00(0.01) 0.04(0.03) 0.17(0.05) 0.11(0.04) 0.51(0.07) 0.09(0.04) 0.00(0.01)
