#COUNT RESULTS FOR TRACT 1908.01 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
36 0 0 12 3 1 15 4 0
36(9) 0(1) 0(1) 16(7) 5(4) 1(2) 22(8) 7(5) 0(1) 
0.41(0.10) 0.00(0.01) 0.00(0.01) 0.19(0.08) 0.06(0.05) 0.02(0.03) 0.25(0.09) 0.08(0.06) 0.00(0.01)
