#COUNT RESULTS FOR TRACT 1919.01 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
13 0 0 1 2 3 20 4 0
13(6) 0(1) 0(1) 1(2) 3(4) 4(4) 29(7) 7(5) 0(1) 
0.22(0.11) 0.00(0.02) 0.00(0.02) 0.02(0.04) 0.06(0.06) 0.07(0.07) 0.50(0.13) 0.11(0.08) 0.00(0.02)
