#COUNT RESULTS FOR TRACT 1907.00 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
73 0 0 0 1 0 20 0 0
73(9) 0(1) 0(1) 1(1) 2(3) 1(1) 29(9) 1(2) 0(1) 
0.69(0.09) 0.00(0.01) 0.00(0.01) 0.01(0.01) 0.02(0.02) 0.01(0.01) 0.27(0.08) 0.01(0.01) 0.00(0.01)
