#COUNT RESULTS FOR TRACT 1918.20 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
5 0 0 2 1 2 1 1 0
5(4) 0(1) 0(1) 3(3) 2(2) 3(3) 2(2) 2(2) 0(1) 
0.30(0.22) 0.02(0.06) 0.02(0.06) 0.17(0.18) 0.11(0.15) 0.17(0.18) 0.10(0.14) 0.11(0.15) 0.02(0.06)
