#COUNT RESULTS FOR TRACT 1902.01 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
22 0 0 4 0 2 3 0 0
22(6) 0(1) 0(1) 6(4) 1(2) 3(3) 4(4) 1(2) 0(1) 
0.60(0.16) 0.01(0.03) 0.01(0.03) 0.15(0.12) 0.02(0.04) 0.07(0.08) 0.12(0.11) 0.02(0.04) 0.01(0.03)
