#COUNT RESULTS FOR TRACT 1901.00 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
50 2 0 0 0 1 7 1 0
50(7) 2(3) 0(1) 1(1) 1(2) 1(2) 10(6) 2(3) 0(1) 
0.75(0.10) 0.03(0.04) 0.00(0.01) 0.01(0.02) 0.01(0.02) 0.02(0.03) 0.15(0.09) 0.03(0.04) 0.00(0.01)
