#COUNT RESULTS FOR TRACT 1917.10 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
3 0 0 1 1 0 3 0 0
3(3) 0(1) 0(1) 1(2) 2(2) 1(1) 4(3) 1(2) 0(1) 
0.24(0.23) 0.02(0.08) 0.02(0.08) 0.12(0.18) 0.14(0.19) 0.04(0.11) 0.35(0.26) 0.05(0.12) 0.02(0.08)
