header
time,email,1437.00,14,0,0,5,1,1,2,4,0,file,file
time,email,1893.00,0,0,0,0,0,0,0,0,0,file,file
time,email,1894.00,0,0,0,2,1,0,0,0,0,file,file
time,email,1895.00,4,0,0,1,2,1,0,0,0,file,file
time,email,1896.00,9,0,0,0,0,0,18,2,0,file,file
time,email,1897.01,3,0,0,0,0,0,17,8,0,file,file
time,email,1897.02,4,0,0,0,0,1,3,0,0,file,file
time,email,1898.00,3,0,0,0,0,0,1,1,0,file,file
time,email,1899.02,11,0,0,0,2,1,4,0,0,file,file
time,email,1899.03,0,0,0,0,0,0,0,0,0,file,file
time,email,1899.04,15,2,0,8,5,0,0,0,0,file,file
time,email,1899.05,10,0,0,2,1,0,3,0,0,file,file
time,email,1901.00,50,2,0,0,0,1,7,1,0,file,file
time,email,1902.01,22,0,0,4,0,2,3,0,0,file,file
time,email,1902.02,15,0,0,0,0,0,3,1,0,file,file
time,email,1903.01,21,5,0,1,7,0,48,0,0,file,file
time,email,1905.10,23,0,0,2,2,1,1,12,0,file,file
time,email,1907.00,73,0,0,0,1,0,20,0,0,file,file
time,email,1908.01,36,0,0,12,3,1,15,4,0,file,file
time,email,1908.02,30,0,0,4,6,5,18,6,0,file,file
time,email,1909.01,6,0,0,0,1,1,9,10,0,file,file
time,email,1909.02,2,0,0,7,3,6,0,0,0,file,file
time,email,1910.00,44,0,0,1,1,9,50,15,0,file,file
time,email,1916.10,6,0,0,0,8,1,0,12,0,file,file
time,email,1917.10,3,0,0,1,1,0,3,0,0,file,file
time,email,1917.20,6,0,0,4,4,3,0,1,0,file,file
time,email,1918.10,12,0,0,1,2,0,12,6,0,file,file
time,email,1918.20,5,0,0,2,1,2,1,1,0,file,file
time,email,1919.01,13,0,0,1,2,3,20,4,0,file,file
time,email,1941.01,0,0,0,0,0,0,0,0,0,file,file
time,email,1941.02,2,0,0,0,0,0,2,0,0,file,file
