#COUNT RESULTS FOR TRACT 1905.10 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
23 0 0 2 2 1 1 12 0
23(7) 0(1) 0(1) 3(3) 3(4) 1(2) 2(2) 20(7) 0(1) 
0.44(0.13) 0.00(0.02) 0.00(0.02) 0.05(0.06) 0.07(0.07) 0.03(0.04) 0.03(0.05) 0.37(0.13) 0.00(0.02)
