#COUNT RESULTS FOR TRACT 1899.04 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
15 2 0 8 5 0 0 0 0
15(6) 2(3) 0(1) 11(6) 8(5) 1(1) 1(1) 1(2) 0(1) 
0.39(0.15) 0.05(0.07) 0.01(0.03) 0.28(0.14) 0.22(0.13) 0.01(0.04) 0.01(0.04) 0.02(0.04) 0.01(0.03)
