#COUNT RESULTS FOR TRACT 1909.02 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
2 0 0 7 3 6 0 0 0
2(3) 0(1) 0(1) 10(5) 5(4) 8(5) 1(1) 1(2) 0(1) 
0.08(0.10) 0.01(0.04) 0.01(0.04) 0.36(0.18) 0.19(0.15) 0.30(0.17) 0.02(0.06) 0.02(0.06) 0.01(0.04)
