#COUNT RESULTS FOR TRACT 1899.02 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
11 0 0 0 2 1 4 0 0
11(5) 0(1) 0(1) 1(1) 3(3) 1(2) 6(4) 1(2) 0(1) 
0.47(0.20) 0.01(0.04) 0.01(0.04) 0.02(0.06) 0.15(0.14) 0.06(0.10) 0.24(0.17) 0.03(0.07) 0.01(0.04)
