#COUNT RESULTS FOR TRACT 1910.00 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
44 0 0 1 1 9 50 15 0
44(11) 0(1) 0(1) 2(2) 2(3) 12(7) 72(12) 25(9) 0(1) 
0.28(0.07) 0.00(0.01) 0.00(0.01) 0.01(0.02) 0.01(0.02) 0.08(0.04) 0.46(0.08) 0.16(0.06) 0.00(0.01)
