#COUNT RESULTS FOR TRACT 1899.05 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
10 0 0 2 1 0 3 0 0
10(4) 0(1) 0(1) 3(3) 2(3) 1(1) 4(4) 1(2) 0(1) 
0.48(0.21) 0.01(0.05) 0.01(0.05) 0.13(0.15) 0.09(0.12) 0.03(0.07) 0.21(0.17) 0.03(0.08) 0.01(0.05)
