#COUNT RESULTS FOR TRACT 1902.02 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
15 0 0 0 0 0 3 1 0
15(5) 0(1) 0(1) 1(1) 1(2) 1(1) 4(4) 2(3) 0(1) 
0.63(0.19) 0.01(0.04) 0.01(0.04) 0.02(0.06) 0.03(0.07) 0.02(0.06) 0.18(0.16) 0.08(0.11) 0.01(0.04)
