#COUNT RESULTS FOR TRACT 1908.02 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
30 0 0 4 6 5 18 6 0
30(9) 0(1) 0(1) 5(4) 10(6) 7(5) 26(8) 10(6) 0(1) 
0.34(0.10) 0.00(0.01) 0.00(0.01) 0.06(0.05) 0.11(0.07) 0.08(0.05) 0.29(0.09) 0.11(0.07) 0.00(0.01)
