#COUNT RESULTS FOR TRACT 1918.10 
#Adults     TAY        Minors     Cars       Vans       RVs        Tents      Makeshifts Families  
12 0 0 1 2 0 12 6 0
12(6) 0(1) 0(1) 1(2) 3(3) 1(1) 17(6) 10(5) 0(1) 
0.26(0.13) 0.01(0.02) 0.01(0.02) 0.03(0.05) 0.08(0.08) 0.01(0.03) 0.38(0.14) 0.22(0.12) 0.01(0.02)
